stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening D:\Visual Studio 2015\Projects\Sudok\Debug\allegro5.cfg r
system   D            wsystem.c:721  maybe_parent_dir                 [   0.00000] Also searching D:\Visual Studio 2015\Projects\Sudok\
system   W            wsystem.c:775  _al_win_safe_load_library        [   0.00000] PathFindOnPath failed to find shcore.dll
system   D            wsystem.c:721  maybe_parent_dir                 [   0.00000] Also searching D:\Visual Studio 2015\Projects\Sudok\
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\user32.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\user32.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\user32.dll
system   I             system.c:252  al_install_system                [   0.00000] Allegro version: 5.2.0
system   D            wsystem.c:721  maybe_parent_dir                 [   0.02472] Also searching D:\Visual Studio 2015\Projects\Sudok\
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.05293] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:682  load_library_at_path             [   0.05304] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:685  load_library_at_path             [   0.06931] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   0.11187] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1769 d3d_create_display_locked        [   0.11610] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.11621] al_display=00302D58
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.11630] al_display->vt=00302C78
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.13092] found 288 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.13106] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.13119] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.13127] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.13139] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.13147] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13158] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.13167] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13179] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.13187] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13198] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.13207] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13218] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.13227] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13239] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.13247] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13259] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.13282] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13295] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.13304] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.13315] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.13324] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.13336] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.13344] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13356] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.13364] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13376] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.13385] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13398] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.13406] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13417] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.13426] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13437] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.13446] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13458] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.13518] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13531] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.13540] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.13551] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.13559] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.13571] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.13580] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13591] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.13600] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13611] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.13619] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13631] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.13639] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13651] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.13659] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13672] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.13681] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13693] Score is : 713
